,date_of_service,toc_code,rid,location,gbtt_ptd,gbtt_pta,actual_td,actual_ta,late_canc_reason,arrivalDelay,departureDelay,previousJourney,nextJourney,previousArrivalDelay,previousDepartureDelay,nextArrivalDelay,nextDepartureDelay,previousStation,nextStation,numberOfStops
5,2017-09-08,LE,201709087101292,LST,,0 days 10:19:00,,0 days 10:18:00,0.0,-60.0,,2940.0,,-60.0,-60.0,,,COL,,6
0,2017-09-11,LE,201709117101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,0.0,120.0,,DIS,6
1,2017-09-11,LE,201709117101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:49:00,0 days 08:47:00,0.0,0.0,120.0,1020.0,1259.9999999999964,,0.0,0.0,120.0,NRW,IPS,6
2,2017-09-11,LE,201709117101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:11:00,0 days 09:08:00,0.0,0.0,120.0,1259.9999999999964,600.0,0.0,120.0,120.0,240.0,DIS,MNG,6
3,2017-09-11,LE,201709117101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:23:00,0 days 09:21:00,0.0,120.0,240.0,600.0,540.0,0.0,120.0,180.0,120.0,IPS,COL,6
4,2017-09-11,LE,201709117101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:32:00,0 days 09:31:00,0.0,180.0,120.0,540.0,2940.0,120.0,240.0,60.0,,MNG,LST,6
5,2017-09-11,LE,201709117101292,LST,,0 days 10:19:00,,0 days 10:20:00,0.0,60.0,,2940.0,,180.0,120.0,,,COL,,6
0,2017-09-12,LE,201709127101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,60.0,240.0,,DIS,6
1,2017-09-12,LE,201709127101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:51:00,0 days 08:48:00,0.0,60.0,240.0,1020.0,1259.9999999999964,,0.0,120.0,180.0,NRW,IPS,6
2,2017-09-12,LE,201709127101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:12:00,0 days 09:10:00,0.0,120.0,180.0,1259.9999999999964,600.0,60.0,240.0,120.0,240.0,DIS,MNG,6
3,2017-09-12,LE,201709127101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:23:00,0 days 09:21:00,0.0,120.0,240.0,600.0,540.0,120.0,180.0,180.0,60.0,IPS,COL,6
4,2017-09-12,LE,201709127101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:31:00,0 days 09:31:00,0.0,180.0,60.0,540.0,2940.0,120.0,240.0,-180.0,,MNG,LST,6
5,2017-09-12,LE,201709127101292,LST,,0 days 10:19:00,,0 days 10:16:00,0.0,-180.0,,2940.0,,180.0,60.0,,,COL,,6
0,2017-09-13,LE,201709137101292,NRW,0 days 08:30:00,,,,670.0,,,,1020.0,,,,,,DIS,6
1,2017-09-13,LE,201709137101292,DIS,0 days 08:47:00,0 days 08:47:00,,,670.0,,,1020.0,1259.9999999999964,,,,,NRW,IPS,6
2,2017-09-13,LE,201709137101292,IPS,0 days 09:09:00,0 days 09:08:00,,,670.0,,,1259.9999999999964,600.0,,,,,DIS,MNG,6
3,2017-09-13,LE,201709137101292,MNG,0 days 09:19:00,0 days 09:19:00,,,670.0,,,600.0,,,,,360.0,IPS,COL,6
4,2017-09-13,LE,201709137101292,COL,0 days 09:30:00,,0 days 09:36:00,,670.0,,360.0,,2940.0,,,300.0,,MNG,LST,6
5,2017-09-13,LE,201709137101292,LST,,0 days 10:19:00,,0 days 10:24:00,670.0,300.0,,2940.0,,,360.0,,,COL,,6
0,2017-09-14,LE,201709147101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,0.0,120.0,,DIS,6
1,2017-09-14,LE,201709147101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:49:00,0 days 08:47:00,0.0,0.0,120.0,1020.0,1259.9999999999964,,0.0,0.0,120.0,NRW,IPS,6
2,2017-09-14,LE,201709147101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:11:00,0 days 09:08:00,0.0,0.0,120.0,1259.9999999999964,600.0,0.0,120.0,60.0,180.0,DIS,MNG,6
3,2017-09-14,LE,201709147101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:22:00,0 days 09:20:00,0.0,60.0,180.0,600.0,540.0,0.0,120.0,120.0,0.0,IPS,COL,6
4,2017-09-14,LE,201709147101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:30:00,0 days 09:30:00,0.0,120.0,0.0,540.0,2940.0,60.0,180.0,-120.0,,MNG,LST,6
5,2017-09-14,LE,201709147101292,LST,,0 days 10:19:00,,0 days 10:17:00,0.0,-120.0,,2940.0,,120.0,0.0,,,COL,,6
0,2017-09-15,LE,201709157101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,-60.0,60.0,,DIS,6
1,2017-09-15,LE,201709157101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:48:00,0 days 08:46:00,0.0,-60.0,60.0,1020.0,1259.9999999999964,,0.0,-60.0,0.0,NRW,IPS,6
2,2017-09-15,LE,201709157101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:09:00,0 days 09:07:00,0.0,-60.0,0.0,1259.9999999999964,600.0,-60.0,60.0,-60.0,60.0,DIS,MNG,6
3,2017-09-15,LE,201709157101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:20:00,0 days 09:18:00,0.0,-60.0,60.0,600.0,540.0,-60.0,0.0,0.0,-60.0,IPS,COL,6
4,2017-09-15,LE,201709157101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:29:00,0 days 09:28:00,0.0,0.0,-60.0,540.0,2940.0,-60.0,60.0,0.0,,MNG,LST,6
5,2017-09-15,LE,201709157101292,LST,,0 days 10:19:00,,0 days 10:19:00,0.0,0.0,,2940.0,,0.0,-60.0,,,COL,,6
0,2017-09-18,LE,201709187101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,-60.0,120.0,,DIS,6
1,2017-09-18,LE,201709187101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:49:00,0 days 08:46:00,0.0,-60.0,120.0,1020.0,1259.9999999999964,,0.0,240.0,360.0,NRW,IPS,6
2,2017-09-18,LE,201709187101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:15:00,0 days 09:12:00,0.0,240.0,360.0,1259.9999999999964,600.0,-60.0,120.0,300.0,420.0,DIS,MNG,6
3,2017-09-18,LE,201709187101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:26:00,0 days 09:24:00,0.0,300.0,420.0,600.0,540.0,240.0,360.0,300.0,240.0,IPS,COL,6
4,2017-09-18,LE,201709187101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:34:00,0 days 09:33:00,0.0,300.0,240.0,540.0,2940.0,300.0,420.0,420.0,,MNG,LST,6
5,2017-09-18,LE,201709187101292,LST,,0 days 10:19:00,,0 days 10:26:00,0.0,420.0,,2940.0,,300.0,240.0,,,COL,,6
0,2017-09-19,LE,201709197101292,NRW,0 days 08:30:00,,0 days 08:30:00,,883.0,,0.0,,1020.0,,,120.0,240.0,,DIS,6
1,2017-09-19,LE,201709197101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:51:00,0 days 08:49:00,883.0,120.0,240.0,1020.0,1259.9999999999964,,0.0,420.0,,NRW,IPS,6
2,2017-09-19,LE,201709197101292,IPS,,0 days 09:08:00,,0 days 09:15:00,883.0,420.0,,1259.9999999999964,,120.0,240.0,,,DIS,MNG,6
3,2017-09-19,LE,201709197101292,MNG,0 days 09:19:00,0 days 09:19:00,,,883.0,,,,540.0,420.0,,,,IPS,COL,6
4,2017-09-19,LE,201709197101292,COL,0 days 09:30:00,0 days 09:28:00,,,883.0,,,540.0,2940.0,,,,,MNG,LST,6
5,2017-09-19,LE,201709197101292,LST,,0 days 10:19:00,,,883.0,,,2940.0,,,,,,COL,,6
0,2017-09-20,LE,201709207101292,NRW,0 days 08:30:00,,0 days 08:31:00,,0.0,,60.0,,1020.0,,,60.0,180.0,,DIS,6
1,2017-09-20,LE,201709207101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:50:00,0 days 08:48:00,0.0,60.0,180.0,1020.0,1259.9999999999964,,60.0,60.0,120.0,NRW,IPS,6
2,2017-09-20,LE,201709207101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:11:00,0 days 09:09:00,0.0,60.0,120.0,1259.9999999999964,600.0,60.0,180.0,120.0,180.0,DIS,MNG,6
3,2017-09-20,LE,201709207101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:22:00,0 days 09:21:00,0.0,120.0,180.0,600.0,540.0,60.0,120.0,120.0,0.0,IPS,COL,6
4,2017-09-20,LE,201709207101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:30:00,0 days 09:30:00,0.0,120.0,0.0,540.0,2940.0,120.0,180.0,0.0,,MNG,LST,6
5,2017-09-20,LE,201709207101292,LST,,0 days 10:19:00,,0 days 10:19:00,0.0,0.0,,2940.0,,120.0,0.0,,,COL,,6
0,2017-09-21,LE,201709217101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,-60.0,60.0,,DIS,6
1,2017-09-21,LE,201709217101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:48:00,0 days 08:46:00,0.0,-60.0,60.0,1020.0,1259.9999999999964,,0.0,-60.0,0.0,NRW,IPS,6
2,2017-09-21,LE,201709217101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:09:00,0 days 09:07:00,0.0,-60.0,0.0,1259.9999999999964,600.0,-60.0,60.0,-60.0,60.0,DIS,MNG,6
3,2017-09-21,LE,201709217101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:20:00,0 days 09:18:00,0.0,-60.0,60.0,600.0,540.0,-60.0,0.0,-60.0,-60.0,IPS,COL,6
4,2017-09-21,LE,201709217101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:29:00,0 days 09:27:00,0.0,-60.0,-60.0,540.0,2940.0,-60.0,60.0,300.0,,MNG,LST,6
5,2017-09-21,LE,201709217101292,LST,,0 days 10:19:00,,0 days 10:24:00,0.0,300.0,,2940.0,,-60.0,-60.0,,,COL,,6
0,2017-09-22,LE,201709227101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,-60.0,120.0,,DIS,6
1,2017-09-22,LE,201709227101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:49:00,0 days 08:46:00,0.0,-60.0,120.0,1020.0,1259.9999999999964,,0.0,-60.0,60.0,NRW,IPS,6
2,2017-09-22,LE,201709227101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:10:00,0 days 09:07:00,0.0,-60.0,60.0,1259.9999999999964,600.0,-60.0,120.0,0.0,120.0,DIS,MNG,6
3,2017-09-22,LE,201709227101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:21:00,0 days 09:19:00,0.0,0.0,120.0,600.0,540.0,-60.0,60.0,0.0,0.0,IPS,COL,6
4,2017-09-22,LE,201709227101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:30:00,0 days 09:28:00,0.0,0.0,0.0,540.0,2940.0,0.0,120.0,-60.0,,MNG,LST,6
5,2017-09-22,LE,201709227101292,LST,,0 days 10:19:00,,0 days 10:18:00,0.0,-60.0,,2940.0,,0.0,0.0,,,COL,,6
0,2017-09-25,LE,201709257101292,NRW,0 days 08:30:00,,0 days 08:29:00,,0.0,,-60.0,,1020.0,,,,60.0,,DIS,6
1,2017-09-25,LE,201709257101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:48:00,,0.0,,60.0,1020.0,1259.9999999999964,,-60.0,-60.0,0.0,NRW,IPS,6
2,2017-09-25,LE,201709257101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:09:00,0 days 09:07:00,0.0,-60.0,0.0,1259.9999999999964,600.0,,60.0,-60.0,60.0,DIS,MNG,6
3,2017-09-25,LE,201709257101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:20:00,0 days 09:18:00,0.0,-60.0,60.0,600.0,540.0,-60.0,0.0,-60.0,0.0,IPS,COL,6
4,2017-09-25,LE,201709257101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:30:00,0 days 09:27:00,0.0,-60.0,0.0,540.0,2940.0,-60.0,60.0,0.0,,MNG,LST,6
5,2017-09-25,LE,201709257101292,LST,,0 days 10:19:00,,0 days 10:19:00,0.0,0.0,,2940.0,,-60.0,0.0,,,COL,,6
0,2017-09-26,LE,201709267101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,0.0,180.0,,DIS,6
1,2017-09-26,LE,201709267101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:50:00,0 days 08:47:00,0.0,0.0,180.0,1020.0,1259.9999999999964,,0.0,0.0,60.0,NRW,IPS,6
2,2017-09-26,LE,201709267101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:10:00,0 days 09:08:00,0.0,0.0,60.0,1259.9999999999964,600.0,0.0,180.0,60.0,180.0,DIS,MNG,6
3,2017-09-26,LE,201709267101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:22:00,0 days 09:20:00,0.0,60.0,180.0,600.0,540.0,0.0,60.0,120.0,60.0,IPS,COL,6
4,2017-09-26,LE,201709267101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:31:00,0 days 09:30:00,0.0,120.0,60.0,540.0,2940.0,60.0,180.0,-120.0,,MNG,LST,6
5,2017-09-26,LE,201709267101292,LST,,0 days 10:19:00,,0 days 10:17:00,0.0,-120.0,,2940.0,,120.0,60.0,,,COL,,6
0,2017-09-27,LE,201709277101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,0.0,180.0,,DIS,6
1,2017-09-27,LE,201709277101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:50:00,0 days 08:47:00,0.0,0.0,180.0,1020.0,1259.9999999999964,,0.0,60.0,60.0,NRW,IPS,6
2,2017-09-27,LE,201709277101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:10:00,0 days 09:09:00,0.0,60.0,60.0,1259.9999999999964,600.0,0.0,180.0,60.0,180.0,DIS,MNG,6
3,2017-09-27,LE,201709277101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:22:00,0 days 09:20:00,0.0,60.0,180.0,600.0,540.0,60.0,60.0,60.0,0.0,IPS,COL,6
4,2017-09-27,LE,201709277101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:30:00,0 days 09:29:00,0.0,60.0,0.0,540.0,2940.0,60.0,180.0,60.0,,MNG,LST,6
5,2017-09-27,LE,201709277101292,LST,,0 days 10:19:00,,0 days 10:20:00,0.0,60.0,,2940.0,,60.0,0.0,,,COL,,6
0,2017-09-28,LE,201709287101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,60.0,180.0,,DIS,6
1,2017-09-28,LE,201709287101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:50:00,0 days 08:48:00,0.0,60.0,180.0,1020.0,1259.9999999999964,,0.0,60.0,120.0,NRW,IPS,6
2,2017-09-28,LE,201709287101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:11:00,0 days 09:09:00,0.0,60.0,120.0,1259.9999999999964,600.0,60.0,180.0,60.0,180.0,DIS,MNG,6
3,2017-09-28,LE,201709287101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:22:00,0 days 09:20:00,0.0,60.0,180.0,600.0,540.0,60.0,120.0,120.0,60.0,IPS,COL,6
4,2017-09-28,LE,201709287101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:31:00,0 days 09:30:00,0.0,120.0,60.0,540.0,2940.0,60.0,180.0,240.0,,MNG,LST,6
5,2017-09-28,LE,201709287101292,LST,,0 days 10:19:00,,0 days 10:23:00,0.0,240.0,,2940.0,,120.0,60.0,,,COL,,6
0,2017-09-29,LE,201709297101292,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,0.0,120.0,,DIS,6
1,2017-09-29,LE,201709297101292,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:49:00,0 days 08:47:00,0.0,0.0,120.0,1020.0,1259.9999999999964,,0.0,60.0,120.0,NRW,IPS,6
2,2017-09-29,LE,201709297101292,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:11:00,0 days 09:09:00,0.0,60.0,120.0,1259.9999999999964,600.0,0.0,120.0,120.0,180.0,DIS,MNG,6
3,2017-09-29,LE,201709297101292,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:22:00,0 days 09:21:00,0.0,120.0,180.0,600.0,540.0,60.0,120.0,120.0,60.0,IPS,COL,6
4,2017-09-29,LE,201709297101292,COL,0 days 09:30:00,0 days 09:28:00,0 days 09:31:00,0 days 09:30:00,0.0,120.0,60.0,540.0,2940.0,120.0,180.0,-60.0,,MNG,LST,6
5,2017-09-29,LE,201709297101292,LST,,0 days 10:19:00,,0 days 10:18:00,0.0,-60.0,,2940.0,,120.0,60.0,,,COL,,6
0,2017-08-28,LE,201708287033926,NRW,0 days 08:30:00,,0 days 08:30:00,,0.0,,0.0,,1020.0,,,-60.0,60.0,,DIS,5
1,2017-08-28,LE,201708287033926,DIS,0 days 08:47:00,0 days 08:47:00,0 days 08:48:00,0 days 08:46:00,0.0,-60.0,60.0,1020.0,1259.9999999999964,,0.0,-119.99999999999636,-60.0,NRW,IPS,5
2,2017-08-28,LE,201708287033926,IPS,0 days 09:09:00,0 days 09:08:00,0 days 09:08:00,0 days 09:06:00,0.0,-119.99999999999636,-60.0,1259.9999999999964,600.0,-60.0,60.0,-60.0,0.0,DIS,MNG,5
3,2017-08-28,LE,201708287033926,MNG,0 days 09:19:00,0 days 09:19:00,0 days 09:19:00,0 days 09:18:00,0.0,-60.0,0.0,600.0,780.0,-119.99999999999636,-60.0,-240.0,,IPS,COL,5
4,2017-08-28,LE,201708287033926,COL,,0 days 09:32:00,,0 days 09:28:00,0.0,-240.0,,780.0,,-60.0,0.0,,,MNG,,5
0,2017-08-01,LE,201708017101296,NRW,0 days 09:00:00,,0 days 09:00:00,,0.0,,0.0,,1019.9999999999964,,,-120.0,0.0,,DIS,9
1,2017-08-01,LE,201708017101296,DIS,0 days 09:17:00,0 days 09:17:00,0 days 09:17:00,0 days 09:15:00,0.0,-120.0,0.0,1019.9999999999964,720.0,,0.0,-60.0,0.0,NRW,SMK,9
2,2017-08-01,LE,201708017101296,SMK,0 days 09:29:00,0 days 09:29:00,0 days 09:29:00,0 days 09:28:00,0.0,-60.0,0.0,720.0,720.0,-120.0,0.0,-120.0,-60.0,DIS,IPS,9
3,2017-08-01,LE,201708017101296,IPS,0 days 09:43:00,0 days 09:41:00,0 days 09:42:00,0 days 09:39:00,0.0,-120.0,-60.0,720.0,540.0,-60.0,0.0,-60.0,60.0,SMK,MNG,9
4,2017-08-01,LE,201708017101296,MNG,0 days 09:53:00,0 days 09:52:00,0 days 09:54:00,0 days 09:51:00,0.0,-60.0,60.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,9
5,2017-08-01,LE,201708017101296,COL,0 days 10:03:00,0 days 10:02:00,0 days 10:02:00,0 days 10:01:00,0.0,-60.0,-60.0,540.0,1080.0,-60.0,60.0,-120.0,0.0,MNG,CHM,9
6,2017-08-01,LE,201708017101296,CHM,0 days 10:21:00,0 days 10:21:00,0 days 10:21:00,0 days 10:19:00,0.0,-120.0,0.0,1080.0,1440.0,-60.0,-60.0,-60.0,,COL,SRA,9
7,2017-08-01,LE,201708017101296,SRA,,0 days 10:45:00,,0 days 10:44:00,0.0,-60.0,,1440.0,,-120.0,0.0,0.0,,CHM,LST,9
8,2017-08-01,LE,201708017101296,LST,,0 days 10:55:00,,0 days 10:55:00,0.0,0.0,,,,-60.0,,,,SRA,,9
0,2017-08-02,LE,201708027101296,NRW,0 days 09:00:00,,0 days 09:00:00,,0.0,,0.0,,1019.9999999999964,,,-60.0,60.0,,DIS,9
1,2017-08-02,LE,201708027101296,DIS,0 days 09:17:00,0 days 09:17:00,0 days 09:18:00,0 days 09:16:00,0.0,-60.0,60.0,1019.9999999999964,720.0,,0.0,60.0,120.0,NRW,SMK,9
2,2017-08-02,LE,201708027101296,SMK,0 days 09:29:00,0 days 09:29:00,0 days 09:31:00,0 days 09:30:00,0.0,60.0,120.0,720.0,720.0,-60.0,60.0,60.0,120.0,DIS,IPS,9
3,2017-08-02,LE,201708027101296,IPS,0 days 09:43:00,0 days 09:41:00,0 days 09:45:00,0 days 09:42:00,0.0,60.0,120.0,720.0,540.0,60.0,120.0,120.0,180.0,SMK,MNG,9
4,2017-08-02,LE,201708027101296,MNG,0 days 09:53:00,0 days 09:52:00,0 days 09:56:00,0 days 09:54:00,0.0,120.0,180.0,540.0,540.0,60.0,120.0,120.0,120.0,IPS,COL,9
5,2017-08-02,LE,201708027101296,COL,0 days 10:03:00,0 days 10:02:00,0 days 10:05:00,0 days 10:04:00,0.0,120.0,120.0,540.0,1080.0,120.0,180.0,60.0,180.0,MNG,CHM,9
6,2017-08-02,LE,201708027101296,CHM,0 days 10:21:00,0 days 10:21:00,0 days 10:24:00,0 days 10:22:00,0.0,60.0,180.0,1080.0,1440.0,120.0,120.0,60.0,,COL,SRA,9
7,2017-08-02,LE,201708027101296,SRA,,0 days 10:45:00,,0 days 10:46:00,0.0,60.0,,1440.0,,60.0,180.0,120.0,,CHM,LST,9
8,2017-08-02,LE,201708027101296,LST,,0 days 10:55:00,,0 days 10:57:00,0.0,120.0,,,,60.0,,,,SRA,,9
0,2017-08-03,LE,201708037101296,NRW,0 days 09:00:00,,0 days 09:00:00,,0.0,,0.0,,1019.9999999999964,,,-60.0,60.0,,DIS,9
1,2017-08-03,LE,201708037101296,DIS,0 days 09:17:00,0 days 09:17:00,0 days 09:18:00,0 days 09:16:00,0.0,-60.0,60.0,1019.9999999999964,720.0,,0.0,0.0,60.0,NRW,SMK,9
2,2017-08-03,LE,201708037101296,SMK,0 days 09:29:00,0 days 09:29:00,0 days 09:30:00,0 days 09:29:00,0.0,0.0,60.0,720.0,720.0,-60.0,60.0,-60.0,-60.0,DIS,IPS,9
3,2017-08-03,LE,201708037101296,IPS,0 days 09:43:00,0 days 09:41:00,0 days 09:42:00,0 days 09:40:00,0.0,-60.0,-60.0,720.0,540.0,0.0,60.0,-60.0,0.0,SMK,MNG,9
4,2017-08-03,LE,201708037101296,MNG,0 days 09:53:00,0 days 09:52:00,0 days 09:53:00,0 days 09:51:00,0.0,-60.0,0.0,540.0,540.0,-60.0,-60.0,-60.0,-60.0,IPS,COL,9
5,2017-08-03,LE,201708037101296,COL,0 days 10:03:00,0 days 10:02:00,0 days 10:02:00,0 days 10:01:00,0.0,-60.0,-60.0,540.0,1080.0,-60.0,0.0,-180.0,-60.0,MNG,CHM,9
6,2017-08-03,LE,201708037101296,CHM,0 days 10:21:00,0 days 10:21:00,0 days 10:20:00,0 days 10:18:00,0.0,-180.0,-60.0,1080.0,1440.0,-60.0,-60.0,0.0,,COL,SRA,9
7,2017-08-03,LE,201708037101296,SRA,,0 days 10:45:00,,0 days 10:45:00,0.0,0.0,,1440.0,,-180.0,-60.0,240.0,,CHM,LST,9
8,2017-08-03,LE,201708037101296,LST,,0 days 10:55:00,,0 days 10:59:00,0.0,240.0,,,,0.0,,,,SRA,,9
0,2017-08-04,LE,201708047101296,NRW,0 days 09:00:00,,0 days 09:00:00,,832.0,,0.0,,1019.9999999999964,,,-120.0,0.0,,DIS,9
1,2017-08-04,LE,201708047101296,DIS,0 days 09:17:00,0 days 09:17:00,0 days 09:17:00,0 days 09:15:00,832.0,-120.0,0.0,1019.9999999999964,720.0,,0.0,-60.0,0.0,NRW,SMK,9
2,2017-08-04,LE,201708047101296,SMK,0 days 09:29:00,0 days 09:29:00,0 days 09:29:00,0 days 09:28:00,832.0,-60.0,0.0,720.0,720.0,-120.0,0.0,-120.0,-60.0,DIS,IPS,9
3,2017-08-04,LE,201708047101296,IPS,0 days 09:43:00,0 days 09:41:00,0 days 09:42:00,0 days 09:39:00,832.0,-120.0,-60.0,720.0,540.0,-60.0,0.0,180.0,240.0,SMK,MNG,9
4,2017-08-04,LE,201708047101296,MNG,0 days 09:53:00,0 days 09:52:00,0 days 09:57:00,0 days 09:55:00,832.0,180.0,240.0,540.0,540.0,-120.0,-60.0,120.0,180.0,IPS,COL,9
5,2017-08-04,LE,201708047101296,COL,0 days 10:03:00,0 days 10:02:00,0 days 10:06:00,0 days 10:04:00,832.0,120.0,180.0,540.0,1080.0,180.0,240.0,60.0,180.0,MNG,CHM,9
6,2017-08-04,LE,201708047101296,CHM,0 days 10:21:00,0 days 10:21:00,0 days 10:24:00,0 days 10:22:00,832.0,60.0,180.0,1080.0,1440.0,120.0,180.0,0.0,,COL,SRA,9
7,2017-08-04,LE,201708047101296,SRA,,0 days 10:45:00,,0 days 10:45:00,832.0,0.0,,1440.0,,60.0,180.0,-60.0,,CHM,LST,9
8,2017-08-04,LE,201708047101296,LST,,0 days 10:55:00,,0 days 10:54:00,832.0,-60.0,,,,0.0,,,,SRA,,9
0,2017-08-07,LE,201708077101296,NRW,0 days 09:00:00,,0 days 09:00:00,,0.0,,0.0,,1019.9999999999964,,,-60.0,120.0,,DIS,9
1,2017-08-07,LE,201708077101296,DIS,0 days 09:17:00,0 days 09:17:00,0 days 09:19:00,0 days 09:16:00,0.0,-60.0,120.0,1019.9999999999964,720.0,,0.0,60.0,180.0,NRW,SMK,9
2,2017-08-07,LE,201708077101296,SMK,0 days 09:29:00,0 days 09:29:00,0 days 09:32:00,0 days 09:30:00,0.0,60.0,180.0,720.0,720.0,-60.0,120.0,180.0,240.0,DIS,IPS,9
3,2017-08-07,LE,201708077101296,IPS,0 days 09:43:00,0 days 09:41:00,0 days 09:47:00,0 days 09:44:00,0.0,180.0,240.0,720.0,540.0,60.0,180.0,240.0,300.0,SMK,MNG,9
4,2017-08-07,LE,201708077101296,MNG,0 days 09:53:00,0 days 09:52:00,0 days 09:58:00,0 days 09:56:00,0.0,240.0,300.0,540.0,540.0,180.0,240.0,240.0,240.0,IPS,COL,9
5,2017-08-07,LE,201708077101296,COL,0 days 10:03:00,0 days 10:02:00,0 days 10:07:00,0 days 10:06:00,0.0,240.0,240.0,540.0,1080.0,240.0,300.0,180.0,300.0,MNG,CHM,9
6,2017-08-07,LE,201708077101296,CHM,0 days 10:21:00,0 days 10:21:00,0 days 10:26:00,0 days 10:24:00,0.0,180.0,300.0,1080.0,1440.0,240.0,240.0,480.0,,COL,SRA,9
7,2017-08-07,LE,201708077101296,SRA,,0 days 10:45:00,,0 days 10:53:00,0.0,480.0,,1440.0,,180.0,300.0,420.0,,CHM,LST,9
8,2017-08-07,LE,201708077101296,LST,,0 days 10:55:00,,0 days 11:02:00,0.0,420.0,,,,480.0,,,,SRA,,9
0,2017-08-08,LE,201708087101296,NRW,0 days 09:00:00,,0 days 09:00:00,,0.0,,0.0,,1019.9999999999964,,,0.0,120.0,,DIS,9
1,2017-08-08,LE,201708087101296,DIS,0 days 09:17:00,0 days 09:17:00,0 days 09:19:00,0 days 09:17:00,0.0,0.0,120.0,1019.9999999999964,720.0,,0.0,60.0,120.0,NRW,SMK,9
